VName,FYEAR,Payment
Ansonia,2004,15719237.99
Ansonia,2005,17815777.309999995
Ansonia,2006,18317458.27
Ansonia,2007,19015633.53999999
Ansonia,2008,20755734.21
Ansonia,2009,21034180.88999999
Ansonia,2010,21796853.32
Ansonia,2011,22181436.6
Ansonia,2012,21955987.390000004
Ansonia,2013,21488258.2
Ansonia,2014,22007731.820000004
Ansonia,2015,22245689.949999996
Ansonia,2016,22883103.309999995
Ansonia,2017,22849402.079999987
Ansonia,2018,22866629.559999995
Avon,2004,1599405.39
Avon,2005,1874596.5600000003
Avon,2006,2135340.34
Avon,2007,2256197.16
Avon,2008,2721874.42
Avon,2009,2904506.120000001
Avon,2010,3786164.49
Avon,2011,3316628.9599999995
Avon,2012,3576824.47
Avon,2013,3633484.04
Avon,2014,4286031.27
Avon,2015,4872096.91
Avon,2016,4750402.2
Avon,2017,4320536.11
Avon,2018,3895798.4099999997
Berlin,2004,5247768.64
Berlin,2005,5940717.100000001
Berlin,2006,6208626.08
Berlin,2007,6510940.2700000005
Berlin,2008,7772897.5200000005
Berlin,2009,8137514.449999998
Berlin,2010,8547825.23
Berlin,2011,8520326.48
Berlin,2012,8670572.75
Berlin,2013,8843724.110000001
Berlin,2014,9221635.1
Berlin,2015,9339780.759999998
Berlin,2016,9323526.56
Berlin,2017,8873582.17
Berlin,2018,7946847.379999999
Bethel,2004,8006082.82
Bethel,2005,8546056.030000001
Bethel,2006,8895311.63
Bethel,2007,9103084.030000005
Bethel,2008,9859945.210000003
Bethel,2009,10450233.739999998
Bethel,2010,11205611.46
Bethel,2011,10317598.43
Bethel,2012,10915951.78
Bethel,2013,10172095.599999998
Bethel,2014,10428918.170000002
Bethel,2015,10353318.770000001
Bethel,2016,10445791.260000004
Bethel,2017,10190288.280000003
Bethel,2018,9211356.61
Bloomfield,2004,6040016.1899999995
Bloomfield,2005,7949950.16
Bloomfield,2006,8068520.810000001
Bloomfield,2007,8113149.24
Bloomfield,2008,9234153.03
Bloomfield,2009,9294570.07
Bloomfield,2010,11169437.600000001
Bloomfield,2011,11106233.890000002
Bloomfield,2012,11779631.319999998
Bloomfield,2013,12334102.58
Bloomfield,2014,14429764.340000002
Bloomfield,2015,14940326.940000005
Bloomfield,2016,15671336.110000001
Bloomfield,2017,15228507.079999996
Bloomfield,2018,15064186.380000003
Bolton,2004,2999469.39
Bolton,2005,3009082.95
Bolton,2006,3146499.8400000003
Bolton,2007,3339439.4499999997
Bolton,2008,3716697.5600000005
Bolton,2009,3805316.659999999
Bolton,2010,4153666.92
Bolton,2011,3751773.4400000004
Bolton,2012,4104260.7599999993
Bolton,2013,3870926.3800000004
Bolton,2014,4138024.2999999993
Bolton,2015,4376987.739999998
Bolton,2016,4220021.859999999
Bolton,2017,4000774.3100000005
Bolton,2018,3550290.5700000003
Bozrah,2004,1202292.43
Bozrah,2005,1216794.0900000008
Bozrah,2006,1274615.0000000005
Bozrah,2007,1276259.570000001
Bozrah,2008,1456951.79
Bozrah,2009,1656895.7199999993
Bozrah,2010,1713189.93
Bozrah,2011,1517069.63
Bozrah,2012,1692530.2200000004
Bozrah,2013,1555294.67
Bozrah,2014,1509102.8999999997
Bozrah,2015,1508466.52
Bozrah,2016,1538254.3599999999
Bozrah,2017,1381374.9799999997
Bozrah,2018,1240284.4599999995
Branford,2004,3222097.23
Branford,2005,3761818.3400000003
Branford,2006,3827775.8600000003
Branford,2007,3848652.72
Branford,2008,4452406.23
Branford,2009,4722572.2299999995
Branford,2010,5717941.51
Branford,2011,4290608.85
Branford,2012,4831333.82
Branford,2013,4483878.32
Branford,2014,4880261.890000001
Branford,2015,4979525.580000001
Branford,2016,5128385.5600000005
Branford,2017,4946744.07
Branford,2018,4521224.680000001
Bridgeport,2004,197854241.02
Bridgeport,2005,204339222.03999993
Bridgeport,2006,207776249.43999994
Bridgeport,2007,212027380.53999996
Bridgeport,2008,225858515.64000002
Bridgeport,2009,228773027.89000002
Bridgeport,2010,233840608.77
Bridgeport,2011,245107733.07
Bridgeport,2012,240087079.02999997
Bridgeport,2013,254434880.86999997
Bridgeport,2014,265752999.60999995
Bridgeport,2015,282833896.8999999
Bridgeport,2016,297036455.46000016
Bridgeport,2017,261304741.18
Bridgeport,2018,259793758.10000014
Bristol,2004,42926742.33
Bristol,2005,44266746.429999985
Bristol,2006,46065866.21000002
Bristol,2007,47519958.210000016
Bristol,2008,53272929.1
Bristol,2009,54775969.46999999
Bristol,2010,57824909.47999999
Bristol,2011,54029679.620000005
Bristol,2012,57270277.36
Bristol,2013,54466900.12999999
Bristol,2014,56806689.75000001
Bristol,2015,59894840.98
Bristol,2016,60210090.440000005
Bristol,2017,59496221.01999997
Bristol,2018,59254324.61000001
Brookfield,2004,1981452.74
Brookfield,2005,2187325.9300000006
Brookfield,2006,1849878.5499999996
Brookfield,2007,2473677.2199999997
Brookfield,2008,2812095.1499999994
Brookfield,2009,3108510.04
Brookfield,2010,3669790.6199999996
Brookfield,2011,3337119.4700000007
Brookfield,2012,3352724.2199999997
Brookfield,2013,2965151.1799999997
Brookfield,2014,3586640.92
Brookfield,2015,3103975.72
Brookfield,2016,2610810.55
Brookfield,2017,3027407.4299999997
Brookfield,2018,2956230.02
Brooklyn,2004,6895193.55
Brooklyn,2005,6959147.85
Brooklyn,2006,7101120.569999999
Brooklyn,2007,7209695.29
Brooklyn,2008,7835837.169999999
Brooklyn,2009,8140284.540000001
Brooklyn,2010,8390063.41
Brooklyn,2011,8525012.939999998
Brooklyn,2012,8583027.84
Brooklyn,2013,8328724.380000002
Brooklyn,2014,8459991.31
Brooklyn,2015,8261514.8100000005
Brooklyn,2016,8496875.36
Brooklyn,2017,8297102.539999998
Brooklyn,2018,7283080.069999999
Canterbury,2004,4575295.35
Canterbury,2005,4848196.4799999995
Canterbury,2006,4991293.689999999
Canterbury,2007,5050900.659999999
Canterbury,2008,5503822.649999999
Canterbury,2009,5797121.57
Canterbury,2010,5641991.750000001
Canterbury,2011,5525842.41
Canterbury,2012,5601077.199999999
Canterbury,2013,5897637.119999999
Canterbury,2014,5576774.46
Canterbury,2015,5393572.07
Canterbury,2016,5416276.83
Canterbury,2017,5218910.929999999
Canterbury,2018,4660837.330000002
Canton,2004,2880704.64
Canton,2005,3215022.0800000005
Canton,2006,3456998.0800000005
Canton,2007,3375565.250000001
Canton,2008,4389064.56
Canton,2009,4276767.73
Canton,2010,4804922.84
Canton,2011,4804662.01
Canton,2012,4948474.87
Canton,2013,5022460.380000002
Canton,2014,5469019.079999999
Canton,2015,5398499.31
Canton,2016,5624078.710000002
Canton,2017,5436969.679999999
Canton,2018,4939313.050000002
Cheshire,2004,8605963.030000001
Cheshire,2005,9305304.14
Cheshire,2006,9495090.939999998
Cheshire,2007,9632235.5
Cheshire,2008,11446100.49
Cheshire,2009,11798588.170000002
Cheshire,2010,12114266.07
Cheshire,2011,12371312.059999999
Cheshire,2012,12380115.510000002
Cheshire,2013,12365584.239999995
Cheshire,2014,12440451.450000003
Cheshire,2015,12618161.59
Cheshire,2016,12563579.449999997
Cheshire,2017,11775611.890000002
Cheshire,2018,10230450.099999996
Clinton,2004,6758941.9799999995
Clinton,2005,6865198.789999999
Clinton,2006,7296135.91
Clinton,2007,7070676.42
Clinton,2008,7677431.81
Clinton,2009,7601137.65
Clinton,2010,7974224.600000001
Clinton,2011,8026255.339999999
Clinton,2012,8045726.140000001
Clinton,2013,7715899.519999999
Clinton,2014,7794954.4
Clinton,2015,7835772.96
Clinton,2016,7947106.380000001
Clinton,2017,7978965.739999999
Clinton,2018,6820351.449999998
Colchester,2004,12538724.86
Colchester,2005,13174808.72
Colchester,2006,13706335.189999998
Colchester,2007,14150282.629999997
Colchester,2008,15519240.080000002
Colchester,2009,16004019.179999996
Colchester,2010,16455871.89
Colchester,2011,16470216.769999998
Colchester,2012,16496596.04
Colchester,2013,16339971.43
Colchester,2014,16372338.800000003
Colchester,2015,15864391.05
Colchester,2016,15990432.629999999
Colchester,2017,15628667.67
Colchester,2018,13689248.22
Columbia,2004,2322496.0999999996
Columbia,2005,2433458.4399999995
Columbia,2006,2608799.61
Columbia,2007,2610408.7000000007
Columbia,2008,2980791.15
Columbia,2009,3084043.1999999997
Columbia,2010,3134769.83
Columbia,2011,3109272.63
Columbia,2012,3265640.3899999997
Columbia,2013,3051399.0900000003
Columbia,2014,2932003.020000001
Columbia,2015,3044096.590000001
Columbia,2016,3294552.7999999993
Columbia,2017,3052601.97
Columbia,2018,2724794.61
Coventry,2004,8423502.559999999
Coventry,2005,8666159.349999998
Coventry,2006,9036604.519999996
Coventry,2007,9250463.380000005
Coventry,2008,10288355.559999997
Coventry,2009,10922447.390000002
Coventry,2010,11101689.390000002
Coventry,2011,10778105.61
Coventry,2012,11428096.1
Coventry,2013,10811270.320000002
Coventry,2014,10821180.750000002
Coventry,2015,10682934.83
Coventry,2016,10877073.259999998
Coventry,2017,10703729.68
Coventry,2018,9242641.330000002
Cromwell,2004,3927684.6999999997
Cromwell,2005,4164231.26
Cromwell,2006,4397226.390000001
Cromwell,2007,4511138.58
Cromwell,2008,5633668.6000000015
Cromwell,2009,5901770.929999999
Cromwell,2010,6225630.92
Cromwell,2011,6260638.300000001
Cromwell,2012,6263340.290000001
Cromwell,2013,6296538.2
Cromwell,2014,6298626.73
Cromwell,2015,6660387.470000002
Cromwell,2016,6710734.640000002
Cromwell,2017,7120727.0200000005
Cromwell,2018,6435155.009999999
Danbury,2004,27634584.67
Danbury,2005,30531757.229999993
Danbury,2006,30802111.439999998
Danbury,2007,34072544.519999996
Danbury,2008,39684094.91
Danbury,2009,40705977.56999999
Danbury,2010,42453541.17999999
Danbury,2011,41995575.419999994
Danbury,2012,42441475.589999996
Danbury,2013,43251081.46
Danbury,2014,47266741.769999996
Danbury,2015,49315680.64000001
Danbury,2016,50976422.39
Danbury,2017,50181523.790000014
Danbury,2018,50391042.12999999
Darien,2004,2029790.14
Darien,2005,3049288.4400000004
Darien,2006,3516625.5400000005
Darien,2007,3980478.0400000005
Darien,2008,4909135.85
Darien,2009,5307329.38
Darien,2010,5420280.61
Darien,2011,6046144.199999999
Darien,2012,5105201.68
Darien,2013,4844129.0
Darien,2014,5127168.0
Darien,2015,5225243.0
Darien,2016,5277116.0
Darien,2017,4610050.0
Darien,2018,5159267.0
Derby,2004,7442859.590000001
Derby,2005,7490826.4
Derby,2006,7658841.150000001
Derby,2007,8369047.729999999
Derby,2008,8542731.239999998
Derby,2009,9247279.059999999
Derby,2010,9198024.03
Derby,2011,9162545.999999998
Derby,2012,9235163.129999999
Derby,2013,9139703.36
Derby,2014,9843894.120000005
Derby,2015,10965085.670000002
Derby,2016,11192737.959999999
Derby,2017,11912361.57
Derby,2018,11935775.58
East Granby,2004,1019212.0
East Granby,2005,1171889.1
East Granby,2006,1136274.76
East Granby,2007,1379051.65
East Granby,2008,1815592.16
East Granby,2009,1781906.12
East Granby,2010,1970614.7100000002
East Granby,2011,2035613.6900000002
East Granby,2012,2187130.1400000006
East Granby,2013,2222054.11
East Granby,2014,2409672.6599999997
East Granby,2015,2567811.31
East Granby,2016,2637667.8700000006
East Granby,2017,2410959.6099999994
East Granby,2018,2182854.59
East Haddam,2004,3824931.42
East Haddam,2005,3909772.7100000004
East Haddam,2006,4204570.93
East Haddam,2007,4109720.3099999996
East Haddam,2008,4993139.29
East Haddam,2009,4904394.829999998
East Haddam,2010,5086340.529999999
East Haddam,2011,4995324.880000001
East Haddam,2012,4866287.52
East Haddam,2013,4789040.990000001
East Haddam,2014,4614910.600000001
East Haddam,2015,5033371.090000001
East Haddam,2016,4340866.619999999
East Haddam,2017,4318279.47
East Haddam,2018,3908165.2799999993
East Hampton,2004,6810287.86
East Hampton,2005,7235736.88
East Hampton,2006,7615470.13
East Hampton,2007,7903039.23
East Hampton,2008,8906989.620000001
East Hampton,2009,9127457.389999997
East Hampton,2010,9013813.049999999
East Hampton,2011,9562269.440000001
East Hampton,2012,9161780.18
East Hampton,2013,8853153.21
East Hampton,2014,9178225.89
East Hampton,2015,8757644.659999998
East Hampton,2016,8970594.600000001
East Hampton,2017,8822757.579999998
East Hampton,2018,8138785.579999999
East Hartford,2004,42622022.910000004
East Hartford,2005,43905655.64
East Hartford,2006,47299073.72
East Hartford,2007,48901364.050000004
East Hartford,2008,54349929.80000001
East Hartford,2009,58146763.39000002
East Hartford,2010,59482620.27000001
East Hartford,2011,59838235.85000001
East Hartford,2012,60594485.69000001
East Hartford,2013,59527222.82000003
East Hartford,2014,64859381.739999995
East Hartford,2015,68923685.50000003
East Hartford,2016,70933818.77
East Hartford,2017,68627475.83999999
East Hartford,2018,67418333.48999998
East Haven,2004,19268630.2
East Haven,2005,19709071.630000006
East Haven,2006,20315887.040000003
East Haven,2007,21042844.440000005
East Haven,2008,21447025.83
East Haven,2009,23114397.879999995
East Haven,2010,22991512.410000004
East Haven,2011,24145227.80000001
East Haven,2012,24206646.539999995
East Haven,2013,24401089.999999993
East Haven,2014,24048262.44
East Haven,2015,24431017.669999998
East Haven,2016,24899155.84
East Haven,2017,25200979.780000005
East Haven,2018,24890985.849999998
East Lyme,2004,7733488.819999999
East Lyme,2005,7769748.38
East Lyme,2006,7968574.939999999
East Lyme,2007,8200026.1000000015
East Lyme,2008,8741028.209999999
East Lyme,2009,8824706.040000001
East Lyme,2010,9560250.23
East Lyme,2011,8940296.13
East Lyme,2012,9361874.779999997
East Lyme,2013,9196456.58
East Lyme,2014,8740857.28
East Lyme,2015,9000955.260000002
East Lyme,2016,8879707.859999998
East Lyme,2017,8696893.42
East Lyme,2018,7738598.130000002
East Windsor,2004,5251097.1
East Windsor,2005,5690827.169999999
East Windsor,2006,5760919.68
East Windsor,2007,6573123.34
East Windsor,2008,6946657.95
East Windsor,2009,7144572.18
East Windsor,2010,7381466.430000002
East Windsor,2011,7592256.48
East Windsor,2012,7273611.339999999
East Windsor,2013,7585914.099999998
East Windsor,2014,7820997.23
East Windsor,2015,7603014.1000000015
East Windsor,2016,7458300.220000002
East Windsor,2017,7266980.459999999
East Windsor,2018,7187503.870000001
Eastford,2004,1047335.0
Eastford,2005,1085503.74
Eastford,2006,1136696.28
Eastford,2007,1127115.8199999998
Eastford,2008,1308353.4000000001
Eastford,2009,1371937.6000000003
Eastford,2010,1456495.29
Eastford,2011,1380825.55
Eastford,2012,1417084.0600000003
Eastford,2013,1372683.4700000002
Eastford,2014,1337806.0
Eastford,2015,1343466.59
Eastford,2016,1333571.6199999999
Eastford,2017,1261698.3600000003
Eastford,2018,1133827.82
Ellington,2004,8987440.129999999
Ellington,2005,9012518.780000001
Ellington,2006,9387086.07
Ellington,2007,9326631.510000004
Ellington,2008,10795118.52
Ellington,2009,11047130.799999997
Ellington,2010,11307755.080000002
Ellington,2011,11191218.639999997
Ellington,2012,11796673.020000003
Ellington,2013,11508848.810000004
Ellington,2014,11836432.8
Ellington,2015,11573687.419999998
Ellington,2016,11678706.540000003
Ellington,2017,11487705.120000003
Ellington,2018,10733533.230000002
Enfield,2004,26407392.299999997
Enfield,2005,28129360.269999996
Enfield,2006,28959094.560000002
Enfield,2007,29732316.299999993
Enfield,2008,32818810.840000004
Enfield,2009,33871816.03
Enfield,2010,37068913.67
Enfield,2011,35240913.89
Enfield,2012,36153551.16
Enfield,2013,34886916.71000001
Enfield,2014,35133902.8
Enfield,2015,35151979.58
Enfield,2016,35674833.519999996
Enfield,2017,34774864.599999994
Enfield,2018,30800978.41999999
Fairfield,2004,5603243.71
Fairfield,2005,6526497.039999999
Fairfield,2006,6257850.739999999
Fairfield,2007,7880073.529999999
Fairfield,2008,9477427.74
Fairfield,2009,9203588.83
Fairfield,2010,11977295.14
Fairfield,2011,11136399.27
Fairfield,2012,9262785.16
Fairfield,2013,10292703.940000001
Fairfield,2014,9921403.529999997
Fairfield,2015,11433797.640000002
Fairfield,2016,10908994.45
Fairfield,2017,7668276.69
Fairfield,2018,8740654.77
Farmington,2004,2538767.8899999997
Farmington,2005,2948304.65
Farmington,2006,3149651.5500000003
Farmington,2007,3457424.5100000007
Farmington,2008,4124695.099999999
Farmington,2009,4142645.1400000006
Farmington,2010,4236237.15
Farmington,2011,4389176.6499999985
Farmington,2012,3993005.9099999997
Farmington,2013,4102255.18
Farmington,2014,4429215.809999999
Farmington,2015,4947016.029999999
Farmington,2016,5067644.09
Farmington,2017,3889785.3700000006
Farmington,2018,3646992.8500000006
Franklin,2004,910807.24
Franklin,2005,876303.77
Franklin,2006,976324.8599999999
Franklin,2007,986999.01
Franklin,2008,1044482.9800000001
Franklin,2009,1073556.7000000002
Franklin,2010,1073278.4100000001
Franklin,2011,1108743.8599999999
Franklin,2012,1098063.2999999998
Franklin,2013,1080661.42
Franklin,2014,1135866.2700000003
Franklin,2015,1178384.0500000003
Franklin,2016,1045012.1000000001
Franklin,2017,1137181.81
Franklin,2018,912102.15
Glastonbury,2004,5686663.220000001
Glastonbury,2005,6876777.590000001
Glastonbury,2006,7293348.160000002
Glastonbury,2007,7514668.199999999
Glastonbury,2008,9617386.499999998
Glastonbury,2009,9674746.349999998
Glastonbury,2010,10342878.59
Glastonbury,2011,10658092.57
Glastonbury,2012,10298496.4
Glastonbury,2013,10259214.220000003
Glastonbury,2014,10234589.85
Glastonbury,2015,10438011.649999999
Glastonbury,2016,10488525.339999998
Glastonbury,2017,10032527.549999997
Glastonbury,2018,9288930.879999999
Granby,2004,4585069.680000001
Granby,2005,4849213.050000001
Granby,2006,5234120.430000001
Granby,2007,5248853.419999998
Granby,2008,6317107.970000001
Granby,2009,6633435.96
Granby,2010,7152262.299999999
Granby,2011,7029500.959999999
Granby,2012,7275835.52
Granby,2013,7052761.930000001
Granby,2014,7152632.930000001
Granby,2015,7137431.369999999
Granby,2016,7246403.409999998
Granby,2017,7132112.0
Granby,2018,6676514.480000001
Greenwich,2004,6562635.0
Greenwich,2005,6771195.94
Greenwich,2006,8019430.260000002
Greenwich,2007,6970159.389999999
Greenwich,2008,8475549.909999998
Greenwich,2009,8806284.999999998
Greenwich,2010,11458564.63
Greenwich,2011,9253272.839999998
Greenwich,2012,8620754.949999997
Greenwich,2013,8855106.8
Greenwich,2014,9866278.919999998
Greenwich,2015,8968524.149999999
Greenwich,2016,8227494.449999998
Greenwich,2017,5288204.82
Greenwich,2018,5711216.609999999
Griswold,2004,10556289.879999999
Griswold,2005,11089251.639999997
Griswold,2006,11852516.93
Griswold,2007,11382478.430000003
Griswold,2008,12326598.509999996
Griswold,2009,12601681.61
Griswold,2010,12998856.020000005
Griswold,2011,12933310.09
Griswold,2012,12938879.099999996
Griswold,2013,12857740.669999996
Griswold,2014,13205391.840000004
Griswold,2015,12926847.929999998
Griswold,2016,13645606.659999998
Griswold,2017,13595023.669999996
Griswold,2018,11894616.159999995
Groton,2004,25932998.430000003
Groton,2005,27457287.780000005
Groton,2006,28752607.429999996
Groton,2007,28586759.869999997
Groton,2008,29017849.599999994
Groton,2009,30364652.580000013
Groton,2010,30715968.340000004
Groton,2011,31905066.630000003
Groton,2012,31631049.199999996
Groton,2013,30664811.009999994
Groton,2014,31436992.130000003
Groton,2015,30608692.970000006
Groton,2016,31464015.019999996
Groton,2017,30518410.259999994
Groton,2018,31726814.340000004
